"CANTIDAD","ESTADO","RADICACIÓN","DEMANDADO","IDENTIFICACIÓN","FECHA 
RADICACIÓN","AUTORIDAD JUDICIAL QUE TRAMITA","TIPO DE PROCESO","TIPO DE ACCIÓN"
"96","ACTIVO","85001233300020220001300","MUNICIPIO DE YOPAL","8918550177","2022-02-07T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE - DESPACHO 02","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"97","ACTIVO","85001333300320210015100","MUNICIPIO DE YOPAL","8918550177","2021-09-07T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"98","ACTIVO","85001333300320220014700","DOMINGO CONDE RUEDA
CARLOS ALBERTO LOPEZ PINZON","13465489
91478817","2022-06-28T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","OTRA ¿Cuál?"
"99","ACTIVO","85001333300220210018700","MUNICIPIO DE YOPAL","8918550177","2021-09-01T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"100","ACTIVO","85001333300220210018900","MUNICIPIO DE YOPAL","8918550177","2021-09-06T00:00:00.000","JUZGADO CUARDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"101","ACTIVO","POR DETERMINAR","MARCO ANTONIO MONTAÑA PEREZ
ROFER RONCANCIO SANABRIA","74814215
9658715","2022-06-29T00:00:00.000","POR DETERMINAR","CONTENCIOSO ADMINISTRATIVO","OTRA ¿Cuál?"
"102","ACTIVO","85001233300020220012200","MUNICIPIO DE YOPAL","8918550177","2022-10-26T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE - DESPACHO 02","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"103","ACTIVO","85001310500220220020300","MUNICIPIO DE YOPAL","8918550177","2022-09-19T00:00:00.000","JUZGADO SEGUNDO LABORAL DEL CIRCUITO DE YOPAL","LABORAL- ORDINARIA","ORDINARIO LABORAL I INSTANCIA"
"104","TERMINADO - COBRO DE COSTAS","85001233300020160028100
85001233300020160028103","MUNICIPIO DE YOPAL","8918550177","2020-01-15T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE
DESPACHO 03","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"105","ACTIVO","85001333300220210024900","MUNICIPIO DE YOPAL","8918550177","2021-12-13T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"106","ACTIVO","85001333300220220015100","CESAR ARMANDO PEÑUELA RODRIGUEZ","7170026","2022-06-28T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","OTRA ¿Cuál?"
"107","ACTIVO","85001333300220220007700","MUNICIPIO DE YOPAL","8918550177","2022-04-25T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"108","ACTIVO","85001333300220220010600","MUNICIPIO DE YOPAL","8918550177","2022-05-31T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"109","ACTIVO","85001233300020220011100","MUNICIPIO DE YOPAL","8918550177","2022-09-28T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE - DESPACHO 02","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"110","ACTIVO","85001333300220220012900","MUNICIPIO DE YOPAL","8918550177","2023-06-23T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"111","ACTIVO","85001333300320220015001
85001333300320220015000","MUNICIPIO DE YOPAL","8918550177","2022-08-03T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"112","ACTIVO","85001333300320210019500","MUNICIPIO DE YOPAL","8918550177","2021-10-21T00:00:00.000","JUZGADO QUINTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"113","ACTIVO","85001333300220230000600","MUNICIPIO DE YOPAL","8918550177","2022-12-19T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","EJECUTIVO"
"114","ACTIVO","85001333300220220025600","MUNICIPIO DE YOPAL","8918550177","2022-12-09T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"115","ACTIVO","85001310300220230007500","CLUB SOCIAL Y DEPORTIVO CREDITARIO","844004433-6","2023-05-11T00:00:00.000","JUZGADO SEGUNDO CIVIL DEL CIRCUITO DE YOPAL","CIVIL - ORDINARIA","NULIDAD ABSOLUTA"
"116","ACTIVO","85001333300320220013500","MUNICIPIO DE YOPAL","8918550177","2022-07-18T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"117","ACTIVO","85001333300220220019800","MUNICIPIO DE YOPAL","8918550177","2022-09-29T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"118","ACTIVO","85001333300220220019500","MUNICIPIO DE YOPAL","8918550177","2022-10-03T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"119","ACTIVO","85001333300320230009300","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD SIMPLE"
"120","ACTIVO","85001333300120230001600","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"121","ACTIVO","85001333300320230002100","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"122","ACTIVO","85001333300120230002300","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"123","ACTIVO","85001333300120230002900","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"124","ACTIVO","85001333300120230006800","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD SIMPLE"
"125","ACTIVO","85001333300320230000800","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD SIMPLE"
"126","ACTIVO","85001333300120230003100","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"127","ACTIVO","85001333300120220020700","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"128","ACTIVO","85001333300220220017600","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"129","ACTIVO","85001333300320210021400","MUNICIPIO DE YOPAL","8918550177","2021-11-11T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"130","ACTIVO","85001333300320220023100","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"131","ACTIVO","85001333300120220026000","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"132","ACTIVO","85001333300120230008100","MUNICIPIO DE YOPAL","8918550177","2023-05-24T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NUIDAD Y RESTABLECIMIENTO DEL DERECHO"
"133","ACTIVO","85001333300320220024400","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"134","ACTIVO","85001333300120230009100","MUNICIPIO DE YOPAL","8918550177","2023-06-15T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"135","ACTIVO","85001333300120220016000","MUNICIPIO DE YOPAL","8918550177","2022-08-11T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"136","ACTIVO","85001333300520240000800","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO CUARENTA Y CUATRO ADMINISTRATIVO SECCIÓN CUARTA DEL CIRCUITO DE BOGOTA","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"137","ACTIVO","85001333300220230015600","MUNICIPIO DE YOPAL","8918550177","2023-08-28T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD SIMPLE"
"138","ACTIVO","85001333300320230011600","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"139","ACTIVO","85001333300120230015900","ZOILA ROSA ANGUELO RODELO 57403711
RENE LEONARDO PUENTES 74860695
JORGE GARCIA LIZARAZO 7362917
WILLMAN ENRIQUE CELEMIN CÁCERES 9656065","9656065
7362917
17293435
57403711
74860695","2023-09-18T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPETICIÓN"
"140","ACTIVO","85001333300220230005200","MUNICIPIO DE YOPAL","8918550177","2023-03-09T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"141","ACTIVO","85001333300220230002400","MUNICIPIO DE YOPAL","8918550177","2023-01-30T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"142","ACTIVO","85001333300220230005700","MUNICIPIO DE YOPAL","8918550177","2023-02-10T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"143","ACTIVO","85001333300220230007600","MUNICIPIO DE YOPAL","8918550177","2023-04-27T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"144","ACTIVO","85001333300220230008200","MUNICIPIO DE YOPAL","8918550177","2023-05-09T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"145","ACTIVO","85001333300220230009100","MUNICIPIO DE YOPAL","8918550177","2023-05-24T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"146","ACTIVO","85001333300120220023800","MUNICIPIO DE YOPAL","8918550177","2022-11-21T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"147","ACTIVO","85001333300220230003100","MUNICIPIO DE YOPAL","8918550177","2023-10-27T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"148","ACTIVO","85001333300220230010100","MUNICIPIO DE YOPAL","8918550177","2023-10-30T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"149","ACTIVO","85001333300220230011000","CURADURÍA URBANA No. 1 DE YOPAL
GERMAN MEDINA DELGADO
JAVIER ALEJANDRO MEDINA DELGADO
MIREYA IBÓN DELGADO DE MEDINA","1899-12-31T00:00:00.000","2023-10-31T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"150","ACTIVO","85001333300220230011100","MUNICIPIO DE YOPAL","8918550177","2023-10-31T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"151","ACTIVO","85001333300320230005500","MUNICIPIO DE YOPAL","8918550177","2023-03-16T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"152","ACTIVO","85001333300220230011600","MUNICIPIO DE YOPAL","8918550177","2023-07-04T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"153","ACTIVO","85001333300220220025900","MUNICIPIO DE YOPAL","8918550177","2023-12-16T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"154","ACTIVO","PEDRO CAMILO  VIDALES","MUNICIPIO DE YOPAL","8918550177","2023-04-24T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"155","ACTIVO","85001333300320230003000","MUNICIPIO DE YOPAL","8918550177","2023-02-07T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"156","ACTIVO","85001310500120230018600","MUNICIPIO DE YOPAL","8918550177","2023-08-31T00:00:00.000","JUZGADO PRIMERO LABORAL DEL CIRCUITO DE YOPAL","LABORAL- ORDINARIA","ORDINARIO LABORAL DE I INSTANCIA"
"157","ACTIVO","85001333300120210019800","MUNICIPIO DE YOPAL","8918550177","2023-09-23T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"158","ACTIVO","85001333300320230013500","MUNICIPIO DE YOPAL","8918550177","2023-07-24T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"159","ACTIVO","85001333300320230014900","MUNICIPIO DE YOPAL","8918550177","2023-08-18T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"160","ACTIVO","11001032500020230002300","MUNICIPIO DE YOPAL","8918550177","2023-01-31T00:00:00.000","CONSEJO DE ESTADO - SECCIÓN SEGUNDA","CONTENCIOSO ADMINISTRATIVO","NULIDAD SIMPLE"
"161","ACTIVO","85001333300320220005000","MUNICIPIO DE YOPAL","8918550177","2022-02-25T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"162","ACTIVO","8500131050022024008800","MUNICIPIO DE YOPAL","8918550177","2024-04-17T00:00:00.000","JUZGADO SEGUNDO LABORAL DEL CIRCUITO DE YOPAL","LABORAL- ORDINARIA","ORDINARIO LABORAL DE I INSTANCIA"
"163","ACTIVO","85001333300220220025200","MUNICIPIO DE YOPAL","8918550177","2022-12-05T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"164","ACTIVO","85001333300220240004600","MUNICIPIO DE YOPAL","8918550177","2024-04-01T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"165","ACTIVO","85001333300520240000500","MUNICIPIO DE YOPAL","8918550177","2024-04-08T00:00:00.000","JUZGADO QUINTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"166","ACTIVO","85001333300220240004400","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"167","ACTIVO","85001333300320230019300","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO QUINTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NUIDAD Y RESTABLECIMIENTO DEL DERECHO"
"168","ACTIVO","8500131050022024009300","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO SEGUNDO LABORAL DEL CIRCUITO DE YOPAL","ORDINARIA - LABORAL","ORDINARIO LABORAL DE I INSTANCIA"
"169","ACTIVO","85001333300520240000400","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO QUINTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"170","ACTIVO","85001333300320240004000","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"171","ACTIVO","85001333300220190000300","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"172","ACTIVO","11001333603120230018900","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO TREINTA Y UNO ADMINISTRATIVO SECCIÓN TERCERA DE BOGOTA","LABORAL- ORDINARIA","ORDINARIO LABORAL DE I INSTANCIA"
"173","ACTIVO","85001333300320230021600","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"174","ACTIVO","85001233300020240001000","MUNICIPIO DE YOPAL","8918550177","0/0/0","TRIBUNAL ADMINISTRATIVO DE CASANARE","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"175","ACTIVO","8500131050022024002600","MUNICIPIO DE YOPAL","8918550177","0/0/0","JUZGADO SEGUNDO LABORAL DEL CIRCUITO DE YOPAL","ORDINARIA - LABORAL","ORDINARIO LABORAL DE I INSTANCIA"
"176","ACTIVO","85001333300420240003200","MUNICIPIO DE YOPAL","8918550177","2024-03-13T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"177","ACTIVO","85001333300320240007300","MUNICIPIO DE YOPAL","8918550177","2024-05-07T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"178","ACTIVO","85001233300020240006400","MUNICIPIO DE YOPAL","8918550177","2024-05-31T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE
DESPACHO","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"179","ACTIVO","85001333300320240009500","MUNICIPIO DE YOPAL","8918550177","2024-06-12T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD SIMPLE"
"180","ACTIVO","85001333300320240014200","MUNICIPIO DE YOPAL","8918550177","2024-07-31T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"181","ACTIVO","85001333300320240013000","MUNICIPIO DE YOPAL","8918550177","2024-07-15T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"182","ACTIVO","85001333300120210007300","MUNICIPIO DE YOPAL","8918550177","2021-04-07T00:00:00.000","JUZGADO PRIMERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"183","ACTIVO","85001333300120230002600","MUNICIPIO DE YOPAL","8918550177","2023-02-16T00:00:00.000","JUZGADO QUINTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"184","ACTIVO","85001333300420230010300","MUNICIPIO DE YOPAL","8918550177","2023-11-20T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"185","ACTIVO","85001333300120230014900","MUNICIPIO DE YOPAL","8918550177","2023-08-28T00:00:00.000","TRIBUNAL ADMINISTRATIVO DE CASANARE","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
"186","ACTIVO","85001333300420240007900","MUNICIPIO DE YOPAL","8918550177","2024-06-20T00:00:00.000","JUZGADO CUARTO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"187","ACTIVO","85001333300320240014400","MUNICIPIO DE YOPAL","8918550177","2024-07-31T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"188","ACTIVO","N/A","MUNICIPIO DE YOPAL","8918550177","2024-06-24T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"189","ACTIVO","85001333300220230020200","MUNICIPIO DE YOPAL","8918550177","2023-11-15T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"190","ACTIVO","85001333300220240015400","MUNICIPIO DE YOPAL","8918550177","2024-08-28T00:00:00.000","JUZGADO SEGUNDO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"191","ACTIVO","85001333300320240018400","MUNICIPIO DE YOPAL","8918550177","2024-09-26T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","CONTROVERSIAS CONTRACTUALES"
"192","ACTIVO","85001333300320240018600","MUNICIPIO DE YOPAL","8918550177","2024-09-24T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","NULIDAD Y RESTABLECIMIENTO DEL DERECHO"
"193","ACTIVO","85001333300320240018300","MUNICIPIO DE YOPAL","8918550177","2024-09-20T00:00:00.000","JUZGADO TERCERO ADMINISTRATIVO DEL CIRCUITO DE YOPAL","CONTENCIOSO ADMINISTRATIVO","REPARACIÓN DIRECTA"
